2026087,4,6,10,18,23,31,11
2026086,2,5,14,25,30,32,5
2026085,6,9,13,17,24,28,15
2026084,1,5,6,10,12,16,5
2026083,7,14,15,23,28,33,3
2026082,5,7,10,14,21,28,4
2026081,6,10,12,15,24,27,12
2026080,4,5,11,19,27,32,1
2026079,1,11,17,22,24,29,4
2026078,7,11,14,16,27,28,6
2026077,1,4,5,14,18,25,4
2026076,1,3,19,20,24,25,7
2026075,8,12,18,21,24,30,1
2026074,2,23,24,26,28,32,4
2026073,9,10,13,16,19,21,8
2026072,7,8,12,15,17,21,1
2026071,3,8,19,25,31,33,5
2026070,3,6,8,14,26,27,8
2026069,12,14,16,17,18,32,8
2026068,3,5,16,18,29,32,4
2026067,4,19,27,29,30,32,13
2026066,5,11,21,23,24,29,16
2026065,7,8,16,24,30,32,2
2026064,1,9,15,18,29,33,15
2026063,2,8,25,28,30,31,2
2026062,2,4,7,14,28,29,9
2026061,1,4,5,15,23,28,7
2026060,7,9,10,16,22,27,11
2026059,8,16,26,28,29,30,15
2026058,1,4,7,21,29,30,1
2026057,1,10,22,24,28,30,7
2026056,10,19,21,22,31,33,5
2026055,4,11,24,25,32,33,13
2026054,13,20,25,29,30,33,2
2026053,1,2,3,8,13,14,2
2026052,1,3,11,22,26,31,11
2026051,9,14,15,16,29,30,10
2026050,6,9,25,27,28,30,3
2026049,3,4,14,15,18,20,2
2026048,9,15,18,24,28,33,1
2026047,7,16,21,24,27,30,7
2026046,2,9,10,24,31,33,16
2026045,4,11,15,17,24,30,15
2026044,2,14,17,18,22,30,1
2026043,6,9,14,16,25,32,16
2026042,2,7,12,19,24,31,10
2026041,2,8,10,17,19,24,13
2026040,3,4,14,22,23,33,4
2026039,8,17,18,21,25,30,5
2026038,1,2,13,23,25,27,5
2026037,11,22,27,29,31,33,12
2026036,6,10,12,15,22,28,8
2026035,2,6,12,24,25,32,2
2026034,1,3,7,13,22,23,7
2026033,3,6,13,21,28,29,6
2026032,1,3,11,18,31,33,2
2026031,3,10,12,13,18,33,8
2026030,10,11,14,19,22,24,4
2026029,6,19,22,23,28,31,5
2026028,2,6,9,17,25,28,15
2026027,2,13,17,18,25,26,13
2026026,2,9,16,22,25,29,3
2026025,2,3,15,20,23,24,10
2026024,1,2,13,21,23,29,14
2026023,1,3,8,10,23,29,6
2026022,15,18,23,25,28,32,11
2026021,3,13,25,26,30,31,4
2026020,1,13,14,21,24,30,2
2026019,7,8,16,17,18,30,1
2026018,11,15,17,22,25,30,7
2026017,1,3,5,18,29,32,4
2026016,4,5,9,10,27,30,13
2026015,7,10,13,22,27,31,12
2026014,7,13,19,22,26,32,1
2026013,4,9,12,13,16,20,1
2026012,3,5,7,16,20,24,8
2026011,2,3,4,20,31,32,4
2026010,4,9,10,15,19,26,12
2026009,3,6,13,19,23,25,10
2026008,6,9,16,27,31,33,10
2026007,9,13,19,27,29,30,1
2026006,2,6,22,23,24,28,15
2026005,1,20,22,27,30,33,10
2026004,3,7,8,9,18,32,10
2026003,5,6,9,21,28,30,16
2026002,1,5,7,18,30,32,2
2026001,2,6,11,12,13,33,15
2025151,8,9,14,22,28,30,4
2025150,6,13,17,19,24,31,8
2025149,1,2,4,6,22,30,10
2025148,3,4,9,10,15,22,16
2025147,1,3,5,8,22,33,8
2025146,5,7,12,24,26,28,2
2025145,11,12,15,18,25,32,14
2025144,1,8,15,20,26,33,13
2025143,2,9,12,13,15,24,3
2025142,2,13,15,23,27,31,16
2025141,2,4,5,10,12,13,6
2025140,1,3,4,12,18,24,5
2025139,2,5,17,22,30,33,6
2025138,10,13,14,23,24,27,15
2025137,2,8,11,23,27,29,5
2025136,8,10,14,23,28,32,12
2025135,1,2,5,9,25,32,10
2025134,3,5,9,13,26,29,12
2025133,5,14,17,19,20,33,7
2025132,4,8,10,21,23,32,11
2025131,3,13,14,18,24,31,3
2025130,1,5,8,14,19,23,6
2025129,3,4,7,13,20,30,3
2025128,2,10,18,19,24,27,1
2025127,3,9,15,17,19,28,3
2025126,2,12,13,16,19,25,10
2025125,3,9,12,13,26,32,9
2025124,1,2,18,19,21,33,13
2025123,7,9,23,24,25,26,10
2025122,16,18,19,20,25,31,13
2025121,6,8,10,25,29,30,8
2025120,1,2,4,7,13,32,7
2025119,6,9,23,26,28,32,11
2025118,1,10,11,16,24,26,3
2025117,6,8,17,20,25,33,10
2025116,2,4,8,24,28,31,9
2025115,2,3,8,19,24,30,2
2025114,1,20,21,25,26,27,10
2025113,8,10,13,15,24,31,16
2025112,3,9,11,13,20,32,2
2025111,9,14,18,28,31,33,12
2025110,1,5,11,14,16,19,8
2025109,5,6,9,17,18,31,3
2025108,1,9,14,17,22,33,7
2025107,2,3,10,15,25,33,13
2025106,4,5,17,22,26,30,4
2025105,4,7,18,24,26,28,8
2025104,2,5,15,16,24,32,16
2025103,13,16,21,25,28,31,16
2025102,4,9,16,17,18,31,7
2025101,5,8,9,10,16,21,5
2025100,12,16,17,25,30,31,16
2025099,9,11,15,17,22,26,14
2025098,5,8,13,17,18,29,2
2025097,3,5,16,23,26,31,14
2025096,7,9,11,12,16,29,15
2025095,15,16,22,23,26,32,4
2025094,11,13,17,19,23,29,16
2025093,9,11,12,24,25,26,10
2025092,2,11,14,17,23,24,12
2025091,3,4,17,19,25,27,14
2025090,6,11,12,21,27,28,15
2025089,4,6,8,18,31,33,5
2025088,1,3,13,18,21,25,6
2025087,2,6,14,15,24,26,8
2025086,2,6,8,10,17,24,6
2025085,11,14,15,18,21,24,13
2025084,6,8,10,14,24,33,15
2025083,10,15,16,17,27,29,12
2025082,4,6,9,14,32,33,11
2025081,3,6,18,20,23,28,5
2025080,3,7,8,10,16,19,5
2025079,8,11,14,15,30,32,5
2025078,6,15,17,30,32,33,14
2025077,4,7,8,15,20,21,15
2025076,2,6,9,12,14,30,8
2025075,10,12,14,19,20,21,15
2025074,3,4,12,20,32,33,13
2025073,2,7,10,27,30,33,11
2025072,2,14,17,25,27,29,5
2025071,1,12,18,23,25,28,7
2025070,2,3,15,21,22,33,6
2025069,2,4,19,23,27,30,5
2025068,5,7,8,19,20,31,7
2025067,1,5,10,17,20,22,5
2025066,6,22,24,27,28,30,4
2025065,6,10,13,14,15,20,11
2025064,2,10,13,22,29,33,16
2025063,2,19,21,22,28,30,1
2025062,6,8,9,13,25,31,14
2025061,6,7,9,10,11,32,9
2025060,6,14,18,25,28,30,1
2025059,4,10,11,12,13,24,1
2025058,2,6,7,9,10,20,6
2025057,4,9,15,16,25,30,14
2025056,1,2,10,14,28,31,3
2025055,2,5,22,27,29,33,12
2025054,5,7,10,21,24,27,16
2025053,6,9,10,13,30,33,7
2025052,6,7,10,17,20,26,9
2025051,1,2,3,4,17,22,1
2025050,9,12,15,18,22,33,16
2025049,3,6,19,27,29,33,11
2025048,16,21,22,23,27,31,10
2025047,1,14,21,22,23,31,12
2025046,2,3,10,16,29,33,1
2025045,2,14,19,24,29,33,13
2025044,2,3,7,8,14,28,11
2025043,3,12,16,19,20,32,13
2025042,7,13,19,23,27,33,12
2025041,6,10,17,19,25,31,6
2025040,2,6,8,9,10,24,11
2025039,8,10,12,15,17,23,11
2025038,6,19,20,23,26,33,9
2025037,3,6,11,20,21,31,2
2025036,5,11,13,16,19,32,7
2025035,1,8,16,18,25,31,1
2025034,5,8,13,14,24,26,12
2025033,3,5,18,25,26,33,8
2025032,3,8,10,14,16,21,3
2025031,1,5,6,8,23,28,1
2025030,4,6,7,30,31,33,6
2025029,5,15,16,25,30,33,16
2025028,4,9,14,15,18,25,15
2025027,5,7,8,15,16,23,6
